,33N,35N,36N,37N,42N,47N,54N,63N,64N,66N,77N,79N,84N,85N,86N,88N,92N,99N,100N,101N,107N,109N,110N,126N,2,4,5,6,7,8,10,12,13,14,23,24,25,27,29,49,50,69,70,71,72,73,90,93,98,106,114,112,115,118,119,120,121,34N,38N,39N,46N,53N,55N,56N,57N,58N,59N,62N,65N,67N,68,75N,78N,83N,89N,102N,103N,104N,108N,111N,1,16,18,21,41,48,51,60,74,91,94,97,113,117,122,Pool1,Pool1v2,Pool2,Pool2v2
Label,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Pool,Pool,Pool,Pool
F955,NA,NA,38372.59643,14988.53267,NA,138440.7588,25637.4732,NA,94412.09375,141582.4561,74553.95556,7361.574962,NA,100009.494,NA,13286.7048,NA,326486.4614,648242.9221,223885.1541,106426.2895,45561.44133,110342.4057,NA,NA,93262.28889,42596.52571,169997.1816,6752.012903,341247.4618,29654.60883,33731.11,NA,180307.8755,154084.2672,NA,42672.3425,236486.1899,53082.85033,49268.08238,32153.1072,169086.8497,54633.67643,17473.84985,NA,197644.8397,55445.607,22495.15467,90407.85286,644288.5291,118894.0276,229154.4605,28462.245,438630.082,183599.1912,78161.211,267186.2286,80111.46857,17483.30468,NA,150502.2038,19873.48442,NA,15845.83689,41282.36067,263019.3076,49888.70743,10959.89492,12009.86028,14758.0774,208613.046,NA,382449.705,119434.3274,NA,455962.4465,398252.9119,157887.951,192463.9795,439596.7548,51517.4118,114761.967,277467.2262,NA,159567.2465,263210.85,85716.09556,267664.2009,90110.36456,9034.02653,74939.41462,235811.6043,300026.182,155156.0985,159657.8938,178610.67,158438.6664,150937.206,125263.812
F956,91069.86764,20823.71201,140044.2139,24683.40317,156824.5672,123595.4904,50755.79033,25275.17588,209839.0634,45367.9704,86404.81985,135576.0489,94078.5708,147341.0209,478805.6312,NA,29697.96339,153378.4482,219405.31,81159.81692,201839.9039,62879.41692,299886.1022,95162.24038,64151.70283,96515.1984,40508.12586,89252.18011,111993.4772,428072.5384,104663.9968,80271.02219,123501.6161,92963.695,112703.5056,111794.2532,105118.23,81276.93179,84025.53057,76706.50292,119223.4194,86471.3436,60832.00164,57274.21209,74313.6375,175233.7829,511725.3403,32013.99855,31095.74444,217089.0766,212152.2497,282756.2694,104011.6698,29790.56025,66574.2138,50634.05467,306611.5677,414686.6778,175795.4864,74614.18085,347817.1152,205999.2044,8341.690075,129211.1088,149285.7216,380505.0432,116930.5717,23327.08038,109886.8204,61937.32675,145428.049,164935.2403,313532.0187,165614.9231,311967.6814,285039.11,357298.2108,245348.2578,581136.6804,249762.5916,57763.6398,96973.68277,64022.98233,28537.6455,63512.12509,NA,109744.0349,280555.1556,67421.47108,37976.49318,80718.86871,496319.92,285747.9684,160836.6773,223001.3154,94833.63782,81409.98982,115705.5271,90906.85886
F957,559540.2972,409579.0816,474579.8126,22457.04193,292037.9984,280106.0378,200410.0424,305839.6692,400209.6081,56614.42286,144322.2699,137035.4085,267063.5178,118150.4041,859062.432,41138.55976,42940.10764,113090.1289,130566.6829,52589.0161,2335768.735,91365.97995,1119999.568,261747.6945,179353.5344,99214.05964,84061.32114,15499.35939,5287.692917,303645.3483,158543.1611,52503.37659,216890.7165,1050150.301,50253.08357,1045975.78,667634.318,64670.45922,109902.0622,387406.5837,85201.91993,99119.12891,94051.00856,122033.9511,209832.1329,160025.8706,27565.01662,240921.4935,37809.24601,19180.05943,183242.9766,44379.1506,136835.2986,331570.6679,67726.27482,229789.0219,129663.5705,145017.2361,917476.0754,36576.53778,273918.0771,494713.2312,60115.73015,60731.32855,306008.2974,1022260.986,86198.59026,111577.1567,78646.60458,81512.16115,111286.0281,NA,661591.7062,78602.745,82405.81236,131029.5101,181796.6439,1098666.723,260409.2978,1284782.247,11816.364,4699.304199,137909.9946,292018.5873,55914.54137,59094.52249,120553.1982,528260.6872,102605.4848,109010.11,9162.7974,116947.5378,94974.30489,295606.2324,551241.6846,181355.4502,83296.63579,205265.3758,41613.19656
F958,204377.1113,349697.6765,231316.7255,15222.4368,69305.22514,153505.6822,197782.0821,NA,268537.4283,289042.3337,254374.143,134650.5745,310523.7445,NA,244843.1574,13851.71411,65850.58857,9427.334635,98779.2066,119147.6378,309813.348,47863.05833,125677.0956,32434.4868,261754.3746,76314.90425,NA,52914.10383,82597.625,120606.3889,151868.4591,NA,320854.5919,139322.7044,220828.7793,115097.8961,139244.8136,146222.601,453626.8206,243409.6015,263720.5356,138981.2717,147200.8946,222963.1988,158369.2844,6403.310852,108789.7067,48525.82971,81424.382,95984.22667,199073.0736,198709.025,54198.31533,143354.9238,122831.2023,276054.3802,172449.2623,78952.95525,198027.3792,53104.34057,233957.2891,258150.8375,NA,31990.4658,200223.537,112278.4931,316411.1435,NA,215488.7874,41476.994,254682.9898,NA,221044.4053,143788.7812,224590.0583,56897.62867,91709.09545,321261.4956,98573.46,180111.8802,51581.23143,NA,55513.82057,185923.4009,137244.9018,169515.3396,149967.0836,154774.4386,130636.352,42486.63267,63304.54233,104914.3378,86365.53357,277662.7307,154526.4657,172006.7243,125509.2708,245904.2893,190909.485
F959,246794.8542,308564.0464,91672.944,240391.5232,406996.5267,519066.6022,516844.1098,514397.2281,153005.2221,417464.5628,459017.3318,516470.1231,517104.1558,552395.4012,448183.7724,547356.0338,82554.48727,467194.2185,246931.9141,548942.9041,327985.8402,473457.9344,467784.684,429978.1985,79634.87127,532671.4837,167111.544,578931.4212,47967.55043,441528.52,491354.3947,480018.1591,208359.6984,208824.9254,78066.17273,473755.6453,468499.529,374143.7004,416745.3634,358663.8486,365409.603,494055.9038,214770.6532,243549.515,37044,418201.5153,502073.004,238792.8582,25271.73,123073.65,517014.2277,350605.2707,489940.069,400216.0827,435268.6677,393506.0801,43720.62667,379459.3488,437518.3256,184034.232,157621.7742,401571.6973,172299.873,610537.5222,472046.0547,396937.5117,431994.2068,323551.7118,399849.8886,443193.6393,467532.4448,390248.6018,333823.601,80603.29375,255269.6105,486232.2659,120339.9416,173588.2638,577628.0377,387602.102,510807.3454,478333.5194,583535.899,501448.7974,394715.7108,148541.8965,407025.2077,520609.4313,538819.9824,25355.52889,484905.3582,342955.1973,517282.4694,412604.1322,470452.5132,82613.35855,444965.5275,431939.6376,490444.6055
F960,NA,NA,91910.7345,NA,140116.065,64338.144,41546.86285,NA,35675.16044,105937.4036,183653.5881,182576.7796,NA,102060.2499,157751.8757,NA,51877.6176,93941.265,371997.2558,NA,428468.9886,106628.52,589033.6641,159081.0739,NA,NA,NA,NA,NA,NA,NA,49165.5972,NA,296144.9593,NA,228934.8973,65855.7585,235006.5825,14392.69151,185320.3962,280519.4713,56664.0642,NA,NA,401629.467,75215.67883,59959.805,NA,64808.82571,322065.8928,93431.3055,278698.5143,82900.99117,176654.9344,13641.56195,167144.0739,216715.3378,NA,NA,NA,221539.5933,340068.1447,NA,219766.2947,76610.48214,152006.2148,142729.9182,NA,51583.2666,NA,173159.2098,221105.5331,454032.6736,183980.664,57369.62725,162009.0947,269274.208,135609.3294,479976.4688,238570.2861,59924.8746,NA,276929.412,NA,NA,200984.3146,89664.58286,586829.7747,14604.19914,76766.13257,125956.1028,228464.6653,415326.2676,38074.04391,103428.8907,115114.2924,88068.24,165892.2618,107508.56
F961,48736.215,137056.3142,38608.09419,37549.03838,109400.451,74101.617,33985.30889,81342.68595,45152.95617,65045.03677,130984.5838,95283.0334,125911.5992,74850.65215,117245.632,46266.9882,87416.70526,61813.36688,135651.9977,51649.96667,108089.6784,41537.48889,97789.17527,81789.40483,192211.5488,135418.2208,79665.3498,69072.66324,71150.2626,55521.34444,117325.6883,74988.17283,145430.1022,58058.12712,151706.5098,92832.98507,69902.06525,107683.5404,212831.1613,57933.2658,68478.48667,39912.29,77718.642,52662.83267,56446.28444,27282.8454,64407.53266,127993.1316,60458.64538,191499.2698,81155.98725,80659.35778,44307.26456,163721.4998,183567.5875,274404.9318,65831.05455,35090.92339,55984.75025,81083.70327,129989.3928,45097.96275,86792.07153,145598.7258,111638.8916,48811.6406,58069.58373,50808.51067,135562.5804,86462.94109,39819.48929,110616.128,158884.5847,58316.44475,53368.14,48999.5025,72823.93533,123696.5265,73615.05189,158518.4904,144014.7343,36900.42017,60509.69018,77154.38814,80055.4896,127593.675,75508.84409,113365.0501,96380.4954,45452.7834,97727.47156,78291.65466,61627.63122,76443.614,58394.94444,86414.469,46300.7074,78804.74468,51629.18387
F962,NA,12815.00303,557203.2292,76277.3735,NA,9442.935858,NA,148890.0117,61006.086,85466.559,322336.3344,55190.16167,92904.27033,89761.0902,231682.9303,NA,32461.29071,114656.2002,238344.486,54316.75754,615930.5169,127616.6244,208381.402,145239.768,NA,NA,78135.7224,NA,NA,63736.4706,219938.2521,52568.11214,240745.5956,157262.3617,NA,742298.8975,240931.8475,NA,125430.2594,170873.7659,125864.4876,51287.85455,NA,NA,194622.1128,30360.98094,37826.91536,82590.93625,NA,76693.0515,82416.03589,181655.8966,163188.151,NA,152338.1172,124206.3049,NA,13554.18794,224673.4049,68329.44378,114668.689,21539.9875,NA,109927.1063,121861.194,479569.9156,92692.6266,NA,NA,NA,214289.4371,272651.8434,208910.926,50670.14889,50442.249,1335894.552,130341.3596,NA,106369.5757,175341.3984,85863.25236,248304.5256,219008.1198,59284.3095,NA,136809.8531,NA,81965.22171,18368.41438,NA,55232.25116,203569.596,119844.9484,73156.02775,139270.9337,197557.024,132482.8007,130881.3811,76226.36364
F963,771761.5679,337026.706,389294.1871,375737.9512,268621.7527,477044.1889,457093.465,655651.5985,823001.8206,733140.7505,315044.0331,478518.6764,325109.4906,479865.5201,299449.7278,550064.9124,429149.6512,220335.9584,351327.3023,363877.5822,292336.9351,210405.0882,263087.6855,268748.7177,274114.5399,313793.3126,452968.2726,455012.2264,424077.2972,523749.1339,263801.9365,369538.0788,384222.4855,313692.0844,302526.4417,271989.6287,221196.4585,266206.0924,372761.5684,508399.0522,507964.4853,583629.8415,772082.714,486560,329145.2673,163316.7087,472590.8085,329683.3938,367887.9757,374666.5582,418996.176,653749.595,679844.1693,334678.7419,340912.6187,512543.1455,1076580.948,304992.1076,481238.0379,643139.9633,171583.8691,411138.3563,690770.5687,256154.9173,276630.8209,810038.2007,268999.9013,307157.7013,273860.2272,423053.3001,455012.0779,476629.8209,363239.6956,437496.0889,447887.509,402277.0392,470394.5986,311705.5918,600854.9522,326752.1977,316943.2127,430880.5992,279157.5478,498436.9852,273072.9166,317284.0133,1146406.961,264589.8595,593053.4058,946401.8126,568594.1207,434395.8206,395143.2726,469706.9373,704809.0261,285807.1123,429702.1983,729625.2053,198132.7802
F964,NA,3917.704753,122980.766,11699.46516,300753.8826,522532.6077,109461.6534,18063.68957,190873.3169,18678.39342,334044.0267,274896.1496,44645.99857,19526.82892,108464.832,NA,46753.85878,242636.4575,747555.7788,3139.008885,171693.8509,NA,366964.5053,2389.209821,43585.71591,125440.6222,NA,160347.4578,97768.35865,367791.6281,75703.84267,8027.275215,14496.73703,36118.73637,150875.0982,39121.05367,78410.74304,189368.6178,167525.631,97507.0116,398809.5462,321596.5275,126506.0142,80981.448,64447.67351,64918.93137,85158.17285,2010.665955,32102.80436,797912.2863,33369.47765,630355.161,36818.57555,21704.44495,153120.1957,45614.13675,56317.77039,109133.1266,91742.52769,3679.128632,1022029.764,438157.9327,NA,242260.9615,311205.7852,323829.358,80283.50562,172758.647,106980.1248,111172.2775,110661.0298,32053.91702,701217.8789,75950.62638,NA,610764.5914,203743.4666,375561.5539,92217.57753,519673.5957,78988.92386,11426.54248,59199.15,NA,NA,NA,216105.5196,206332.0686,219822.9989,NA,312571.8158,461177.5549,15235.17724,211058.8549,192085.4802,298294.6467,142809.0154,36228.1224,37227.94238
F965,196259.6341,NA,104604.3664,93989.48364,70613.97553,74117.93455,93617.79918,NA,67389.64655,226205.0688,156253.6365,27703.424,73154.15517,246591.8051,95462.715,286902.7218,NA,112987.8786,116259.0554,214083.2265,231706.1226,296865.8764,173197.3003,NA,NA,114925.4542,52867.4352,84555.11273,41924.5626,97697.19043,32805.55143,174943.4705,50686.69775,220640.7345,136971.12,151513.9578,126413.0432,104536.0137,NA,262464.6,110006.5514,26990.88667,56295.76364,36605.95782,NA,83907.52873,193949.8628,148155.5159,82897.06708,123110.377,191048.8612,198560.8954,214961.0077,184445.6245,131239.05,175528.9848,175939.236,90489.13745,96158.25788,3031.773793,NA,28665.32914,188267.3367,229743.6472,134138.735,14017.89714,124824.3481,140350.112,95758.61527,167829.0269,45922.08971,68355.53455,135399.4422,194812.9887,30784.68655,104313.3067,82034.87183,37215.9444,194552.029,117577.2928,43141.546,200455.0266,202658.8684,13922.7685,206091.3629,214455.1584,104806.8305,212474.6387,121105.9794,248742.0914,388613.3496,45147.967,172944.8537,121392.5957,200364.7533,147847.4491,94559.60227,177275.36,168729.0589
F966,NA,189588.3333,45569.97476,198058.5302,137122.6974,24195.10144,8524.412308,296508.6575,11688.4845,234160.7106,215309.6201,81040.3182,NA,32146.40444,89337.08203,434768.9552,99225.56741,NA,15804.40687,46716.77501,220674.2169,274491.3925,60591.18857,793761.6329,115309.2111,42639.19875,NA,42480.553,227933.3028,16112.35745,97330.22889,109701.7967,214919.1354,58669.15159,157620.3491,349116.2508,17728.77373,NA,149168.4227,108650.4262,104642.7358,NA,NA,NA,339417.7642,NA,91846.8785,43519.047,23190.96384,18057.88768,58008.043,103230.7178,140426.0415,49594.31233,52919.093,174287.7636,26822.8596,15076.03204,28412.60549,276023.6844,90682.0596,33509.04071,207360.8004,356550.8096,59882.82877,NA,219498.0396,145562.8081,269065.7502,192106.845,NA,608913.9192,119476.572,48914.83462,52707.25029,NA,NA,141067.8178,NA,80465.64637,146136.2748,43163.46683,27016.4328,25575.6096,164225.4057,139659.0585,74926.52573,53409.26363,NA,285135.3192,37762.842,NA,NA,45043.66692,7961.769121,49049.61737,35882.75243,49444.9812,37868.5032
F967,249982.2715,58298.74463,114104.9643,NA,73016.20071,NA,NA,119088.4467,63611.82324,66860.42,103334.0943,116918.3405,227792.3115,93052.84163,39171.6324,NA,NA,NA,NA,41857.11267,406151.0992,NA,39177.6192,46607.238,4382.879588,NA,NA,NA,156732.2348,NA,45495.213,43923.27267,69005.16417,297339.7733,52889.158,156438.2202,133512.2879,41914.98929,23754.86821,272518.0556,129198.5514,62730.9677,NA,30011.8574,153302.292,NA,NA,28898.2836,NA,NA,NA,NA,51676.062,NA,78128.35433,73486.64571,43618.72921,6761.89916,238247.968,48512.661,NA,117699.2457,NA,156848.2955,204788.9,357210.3637,78458.51357,NA,235455.855,58324.35617,666856.3662,112091.226,81957.04083,NA,78751.33714,NA,6444.684466,229735.4676,35495.7372,62937.2328,NA,NA,15612.07705,107641.8436,156668.5692,135046.4153,NA,NA,74831.56457,NA,8004.020874,157239.3108,57209.19838,101897.18,286581.1314,NA,NA,28195.28307,14362.8785
F968,105697.9518,192912.3511,418418.9465,89555.65959,141908.2579,318336.8516,83345.2362,128423.2931,328586.7989,136201,201488.7474,NA,84859.8966,272874.4608,61674.64,201081.7668,58552.28471,81366.94,7562.135824,97282.28364,178913.9542,134864.6436,431536.4073,158924.915,117517.8252,384562.7825,71620.0884,73167.62643,76700.886,200916.127,183203.556,68887.1146,48304.70419,341885.1942,207858.72,138599.4202,192938.5992,54885.28985,49879.25674,699068.658,137787.1998,NA,21592.01925,110666.0746,346571.8608,57823.67771,82085.51273,78729.4948,2144.724761,13817.76286,150181.2848,44443.13522,498415.0692,234703.5138,192846.2592,138837.5929,92844.81735,377150.1087,98043.79792,280150.3786,364281.4504,492341.811,6885.518436,71824.09235,209050.0164,579501.1635,255489.6574,90702.79835,503426.7822,181824.0185,108052.1178,323766.144,1220429.564,189597.9648,356471.5433,225632.5724,113695.0064,517882.1007,360468.5844,383871.5619,175374.8083,376336.15,12620.07635,510000.9103,356441.1006,334521.6297,178763.563,381811.1634,130964.6739,2150.187378,98848.0548,153189.1641,84373.50982,380387.2495,88713.65785,157015.775,48417.28983,216595.626,132583.3575
F969,122404.2877,104942.0215,NA,44752.81755,200863.9172,330055.2353,186557.4099,NA,NA,146677.5087,293115.5181,128233.5573,177580.9722,10279.37434,23663.9181,NA,101560.0752,49987.275,338988.0156,NA,25229.1065,NA,868798.1578,3336.500532,62601.82825,521371.3764,268415.438,453498.1044,19788.03283,75267.88189,348315.0174,14503.45006,83214.80784,138489.6638,59046.7875,43527.8415,212207.0701,NA,424572.8802,127499.9412,211505.8,183034.4364,60153.51784,64798.20518,120358.3308,350348.1145,50500.7408,74665.62462,NA,327951.2901,75895.6614,178014.5046,491873.4924,4669.602331,104386.2182,50574.53235,15350.95681,299659.296,77232.83425,4013.723737,162829.5332,139860.3064,NA,93849.78909,66114.06207,33158.38838,43945.12667,463100.4,81665.8375,521028.1947,10270.30449,337396.2531,206435.4605,17640.58629,11463.84138,30491.68633,63158.37,108627.8556,208374.1822,980720.5852,284448.8254,NA,NA,17437.48833,NA,NA,157226.6271,88300.04457,48063.95333,75369.8208,123312.3037,224247.3834,484834.0564,28724.6664,137898.9746,82519.9115,100494.3777,177571.6167,137381.6029
F970,264245.6992,NA,132476.9511,100314.6531,137836.8209,75950.5404,79943.736,NA,89388.9035,183286.2284,190576.1883,49066.71127,123785.6253,196048.3229,130919.2963,281152.0674,NA,99041.43709,10809.97561,217781.0945,248270.6004,276025.4444,209475.7112,14331.681,NA,111690.9157,51785.82,97176.51491,81169.95575,109403.781,48891.00857,173399.1926,105064.6793,204199.49,162774.9305,78305.60571,129862.1513,129167.2056,NA,296123.0928,149533.6791,36669.31811,57152.11775,41674.50917,41629.7433,89649.97236,171014.35,136743.5388,72345.64071,28319.87235,179228.0791,239317.4613,210319.0274,141171.5867,72960.32071,262396.455,201445.842,93417.15667,154064.6815,56028.05611,NA,44654.5434,175523.8725,321828.4948,143410.6023,13929.08786,181708.0452,164367.6575,117686.5188,188179.8911,56939.43847,134268.1828,125745.9288,171145.3798,110850.9819,106440.9378,90047.63262,66248.88362,171120.25,133537.2549,108927.0836,214103.8608,183673.802,47757.30117,194449.8182,224796.1325,100880.416,205530.2489,104425.664,248889.52,353273.9112,68508.12554,168476.6494,138713.1582,208339.6422,141877.7958,91381.84091,175281.6554,168159.7872
F971,NA,NA,7760.596924,181071.0446,NA,NA,6930.991325,169649.9472,9551.445491,149848.6062,31336.29293,6854.01969,NA,588749.7533,NA,NA,36843.14865,83927.08,95398.44686,120659.2711,160169.7745,161767.3276,NA,72669.10255,NA,NA,124440.7928,67266.687,231959.9133,NA,33974.0922,214356.5523,NA,399861.9,NA,134741.376,NA,NA,NA,364012.1843,361499.0513,40253.2476,29807.2794,NA,313734.2628,NA,134694.2631,6797.656725,14830.71001,53477.091,NA,22873.50446,324239.0225,127099.9267,59370.14567,140238.7513,NA,361374.7597,290773.887,266082.1876,NA,199142.5875,NA,174971.2146,276423.7813,258844.287,158623.6117,NA,415692.3775,329216.2765,332866.7908,NA,NA,363450.0955,NA,18046.64487,NA,77520.22339,140470.8231,NA,376158.7343,321790.8818,358924.6248,27437.42895,281543.6705,117011.1313,73774.57214,NA,220057.8054,NA,77614.47292,544777.0112,201121.291,55586.3015,125780.4841,NA,13057.61799,32065.84644,51291.909
F972,239292.396,87451.23111,155406.3522,14201.79497,97187.91025,113522.6183,23861.3892,60865.74325,160303.5546,343152.7938,34286.55117,159156.0846,14682.0686,193387.8338,51710.88038,139202.9091,60401.21656,211428.2978,50610.22049,573536.4378,334065.6573,207057.4015,311027.2314,165581.4612,34250.77988,55517.45028,35210.27618,111453.6975,74934.46477,83167.45125,94946.39127,299364.945,60991.18291,293665.4355,88147.14122,108814.0812,11943.83143,NA,50422.68514,287481.4726,205928.9574,169686.3448,44302.65638,34249.4654,176986.3203,87977.35314,55875.67317,88281.3528,249980.188,38735.5938,52939.45313,180793.3776,146181.6912,368919.3251,51982.3866,46786.7145,253251.9833,58532.10567,200704.1967,46255.66786,139716.2535,125127.645,93555.73902,239747.9514,57212.76983,243448.7386,94112.496,NA,38571.22299,61843.71433,247974.2538,261069.122,176701.4556,102715.2356,68279.92889,142924.6943,197957.6924,180974.2836,243714.7053,43684.6818,76141.1202,1011967.55,370226.7054,56649.25175,260075.6313,232099.2985,35935.767,242841.7005,30022.8042,379276.7148,139197.2717,166435.462,123724.4444,108500.772,212965.443,55089.66662,42407.4978,256091.6814,161515.56
F973,6187.649292,344721.9717,NA,335285.9697,27855.08257,181467.6269,90963.58859,230031.8413,NA,36177.19187,519200.241,28951.8633,253316.475,464681.6217,184246.1295,298635.1269,613346.0397,29270.443,482654.9768,282098.088,729112.3655,291653.524,102893.396,168797.368,453600.3835,1228297.787,354544.0899,311296.9934,3753.452471,NA,236520.8262,185788.6963,NA,26215.52197,753458.496,220924.9622,NA,NA,776014.005,77393.63111,19440.1374,NA,53363.74629,NA,49087.28535,89101.2665,503284.7777,114289.2123,340783.9569,539080.7079,416566.4524,194129.9724,5173.414013,571540.0556,228275.6674,1333573.947,NA,162492.2831,30374.04907,194921.7862,127621.9371,NA,224526.7304,198192.0162,NA,158490.552,119267.8508,337570.73,164906.406,759437.0894,NA,87384.62923,330368.0947,87596.40152,NA,NA,323485.5422,141388.26,232515.5621,1299762.536,242219.9138,NA,249107.6419,216974.6034,746963.1726,633385.4796,23035.43359,300028.3435,148882.7358,903583.125,209233.0175,NA,222957.8757,192507.0662,118534.1669,282636.5082,7014.910334,98588.42764,81040.032
F974,341684.6364,504595.8912,156813.2502,160333.3986,330436.437,284096.6094,358645.2408,366844.4445,577547.117,258223.7577,198119.8083,222414.3743,417105.0032,333079.795,3829.606514,82416.78836,666690.0043,300346.2662,326006.0563,432832.0851,156188.6274,62926.3635,124840.3131,377648.0395,112426.6067,306803.387,372371.8527,183725.8111,175150.9375,231457.3557,250269.8206,300867.6318,154509.5618,174233.4564,272859.4954,338765.4245,358032.3583,NA,424894.9947,217596.9631,417492.477,270459.4299,216030.3975,45282.75714,483575.8752,275459.6526,87468.19333,512624.5537,178184.1306,281348.3711,184287.6732,403876.7412,272607.0306,598666.5303,275323.1929,304008.5234,311066.8916,401893.5103,293969.7878,624003.8896,351517.4947,402472.5775,98077.5173,308141.8023,354051.6701,136250.6909,352328.5476,167430.6658,320788.0319,462274.7532,658712.5139,399678.5817,510695.5591,571513.697,209611.9106,521897.8046,451217.0333,343580.0432,132781.8511,348215.252,289446.813,131608.2269,251801.5363,306744.5253,483913.1194,73396.4855,352276.8206,241136.7808,324512.5576,274955.2626,180250.5218,277090.4523,53064.89233,342376.4689,198538.7444,144148.1748,101869.24,310599.1464,239966.4028
F975,504066.2936,417226.6002,382145.9017,505492.3004,364471.1774,495355.2641,445638.7307,533821.9506,472394.6781,554562.043,176310.3267,730503.2194,413949.5736,553466.4956,370974.9059,552227.161,405040.3433,499983.4674,547233.3192,510060.4616,454832.8188,691957.5002,393348.0886,436799.6558,334803.8102,417117.2273,532825.8093,206662.2246,789619.9035,860273.0594,404359.6013,609978.637,503760.6665,380070.8136,389058.0305,134696.4742,247544.202,333296.1032,556494.4721,560069.2095,536358.8562,457877.4486,461169.5052,496083.5064,673401.5495,539576.3148,538314.0978,439972.6253,457627.2138,536471.8118,339269.9947,478230.5168,488408.5941,317419.9377,469458.7359,568354.4243,513710.5446,634582.0569,499558.9739,543526.2688,369129.5892,507226.8556,518429.9394,165151.395,425080.9129,681449.3869,275010.3414,516097.6105,366736.9475,426358.9422,543049.8509,378601.1875,727733.0332,429029.055,403810.7413,455597.43,396445.7588,453199.2822,420076.3557,441752.4375,413369.7659,654908.1012,555233.3336,705699.4904,482557.4627,454304.2898,690662.6695,327000.5633,513522.6714,462288.0508,431520.2479,879933.267,655179.876,537527.3297,559281.2559,392463.4014,534251.0224,523408.1143,533080.7359
F976,4383.954193,201052.2341,171991.409,153504.6843,189118.0207,261630.1446,203064.0725,NA,171828.201,195834.4303,298352.9935,307556.0925,NA,270019.6649,179859.8551,145771.3532,87325.524,132493.3078,167732.7503,191384.5486,182486.9347,192914.9625,255195.9913,155031.4331,136642.2196,198210.9744,120847.5492,270739.0928,186787.3833,195766.9933,299829.9198,269729.2872,125556.86,169039.8465,258829.4366,171552.7518,196238.7966,110054.3466,169188.9636,212747.1436,268293.6029,89647.05529,145885.7392,164006.0185,72104.55081,183669.2493,201263.9994,155662.9755,216361.7841,158514.3942,271978.4295,239515.5325,235154.6063,197179.8467,140442.3456,279052.4628,173016.6962,193580.4718,152858.5821,140517.8363,185961.9816,171098.1659,83506.18373,201806.5803,209837.5831,49286.16,214956.6378,206567.3794,230636.0435,242624.7595,59882.63111,196556.2679,306606.4123,246746.7771,89580.71931,59439.60227,118078.6075,250815.5695,167177.2253,173097.995,203415.1743,180867.485,183476.7168,21432.33249,248117.2453,175418.8062,237958.5567,273742.1482,114786.6254,159770.5336,211075.0111,97541.71636,106620.3881,205969.8672,158072.4584,224848.2432,247875.5469,265014.5578,281290.8306
F977,242305.9837,224215.638,490276.9658,NA,73186.33371,189758.0815,279264.2569,NA,239188.7822,138739.51,190402.4589,193566.2154,358256.64,NA,313234.0858,NA,56420.83857,NA,43202.225,58890.08571,217318.8444,NA,114452.649,NA,184852.8029,55412.05371,NA,40913.16233,120346.9667,125102.7906,140389.1241,NA,243516.5881,96469.56563,166494.6222,61155.67071,166348.7214,105559.9,198286.8072,177090.4708,291267.171,154941.5883,139602.8703,291472.0072,119361.8302,NA,61570.77929,21818.8926,39026.9514,59768.21825,182510.5914,132944.1659,31071.492,93196.43556,71263.23711,208532.7433,152681.5697,71771.15075,287792.4606,37064.51917,31631.96597,394220.4279,NA,NA,290734.2836,96307.77695,255808.1338,NA,190650.7513,28371.60974,160646.3825,NA,154038.2093,72976.43275,367616.7969,24499.9812,69738.2376,245236.1856,64480.53071,131381.4138,25821.0684,NA,6681.610135,166880.0544,70586.8215,103612.2378,140453.3214,90250.069,110960.3753,24514.9482,25462.70832,169199.6048,84034.21911,182435.6844,126570.2429,128513.9485,96000.90267,225975.7732,189499.6643
